                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.97834,                0.63731,                 1.0135,                0.69843,                0.77409,                0.70094,                0.39074,                 1.4024,                 1.2247,                 1.3176,                0.00307,                0.00307,                0.00307
                     72,                0.99695,                0.61374,                 1.0147,                0.68463,                0.77728,                 0.7117,                0.40327,                 1.4146,                 1.2326,                 1.3188,               0.002971,               0.002971,               0.002971
                     73,                0.95062,                0.63435,                 1.0127,                0.65725,                0.84279,                0.70532,                0.38365,                 1.4213,                 1.2118,                 1.3341,               0.002872,               0.002872,               0.002872
                     74,                0.98877,                0.63093,                 1.0008,                0.70176,                 0.8061,                0.72772,                0.40199,                 1.4243,                  1.203,                 1.3477,               0.002773,               0.002773,               0.002773
                     75,                0.98511,                0.69382,                 1.0277,                0.69735,                0.82224,                0.71483,                0.39418,                 1.4567,                 1.2191,                 1.3403,               0.002674,               0.002674,               0.002674
                     76,                 1.0213,                0.65105,                 1.0559,                0.69758,                0.81342,                0.72319,                0.39703,                  1.401,                 1.1964,                 1.3312,               0.002575,               0.002575,               0.002575
                     77,                0.97831,                0.61864,                 1.0051,                0.69843,                0.78479,                 0.7081,                0.39532,                 1.4213,                 1.1683,                  1.335,               0.002476,               0.002476,               0.002476
                     78,                0.93459,                0.59924,                0.99062,                0.65736,                0.83356,                0.73974,                0.40642,                 1.4226,                 1.1798,                 1.3267,               0.002377,               0.002377,               0.002377
                     79,                0.96318,                0.58799,                 1.0048,                0.69173,                0.78795,                0.72821,                0.41315,                 1.4115,                  1.176,                 1.3241,               0.002278,               0.002278,               0.002278
                     80,                0.95222,                0.60101,                 1.0127,                0.67892,                 0.7659,                0.71479,                 0.3999,                 1.4596,                 1.2052,                 1.3442,               0.002179,               0.002179,               0.002179
                     81,                0.93391,                 0.6008,                0.98824,                0.68365,                0.80749,                0.73323,                0.41161,                 1.4347,                 1.1695,                 1.3376,                0.00208,                0.00208,                0.00208
                     82,                0.93947,                0.58592,                 1.0043,                0.65661,                0.87271,                0.74491,                0.41436,                 1.4196,                 1.1663,                 1.3097,               0.001981,               0.001981,               0.001981
                     83,                0.92233,                0.59221,                0.98972,                0.65158,                0.82126,                0.73522,                0.41146,                 1.4535,                 1.1887,                 1.3232,               0.001882,               0.001882,               0.001882
                     84,                0.92078,                0.58726,                0.96727,                 0.6602,                0.80068,                0.74147,                0.40936,                 1.4723,                 1.1975,                 1.3461,               0.001783,               0.001783,               0.001783
